# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: aadd13fbf9ffd0df
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.0001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"delta_xi_nu":0.0,"finite_mass_corrections":true,"format_version":1,"incomplete_decoupling":true,"munuOverTnu":0.0,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp_per_decade":80,"spectral_distortions":false,"y_SZ":0.0}
1.160451812155007152e+06 9.999983223336005311e-01 0.000000000000000000e+00
1.194423774848161964e+06 9.999983189846387566e-01 0.000000000000000000e+00
1.229390259017469129e+06 9.999983156253720029e-01 0.000000000000000000e+00
1.265380379052794306e+06 9.999983122659177326e-01 0.000000000000000000e+00
1.302424101661148015e+06 9.999983089163588801e-01 0.000000000000000000e+00
1.340552270818068646e+06 9.999983055865394599e-01 0.000000000000000000e+00
1.379796633449450601e+06 9.999983022858536241e-01 0.000000000000000000e+00
1.420189865865226369e+06 9.999982990230239510e-01 0.000000000000000000e+00
1.461765600966865197e+06 9.999982958058812876e-01 0.000000000000000000e+00
1.504558456251363736e+06 9.999982926411452588e-01 0.000000000000000000e+00
1.548604062635073205e+06 9.999982895342149902e-01 0.000000000000000000e+00
1.593939094121308997e+06 9.999982864889721546e-01 0.000000000000000000e+00
1.640601298336490057e+06 9.999982835076002274e-01 0.000000000000000000e+00
1.688629527960198000e+06 9.999982805904291672e-01 0.000000000000000000e+00
1.738063773075376172e+06 9.999982777358020769e-01 0.000000000000000000e+00
1.788945194465545705e+06 9.999982749399740634e-01 0.000000000000000000e+00
1.841316157886786154e+06 9.999982721970398503e-01 0.000000000000000000e+00
1.895220269343055319e+06 9.999982694988963638e-01 0.000000000000000000e+00
1.950702411394152790e+06 9.999982668352355164e-01 0.000000000000000000e+00
2.007808780526589602e+06 9.999982641935731831e-01 0.000000000000000000e+00
2.066586925618517678e+06 9.999982615593069335e-01 0.000000000000000000e+00
2.127085787530675530e+06 9.999982589158048496e-01 0.000000000000000000e+00
2.189355739856346976e+06 9.999982562445212109e-01 0.000000000000000000e+00
2.253448630864310078e+06 9.999982535251338289e-01 0.000000000000000000e+00
2.319417826669610105e+06 9.999982507357031425e-01 0.000000000000000000e+00
2.387318255668149795e+06 9.999982478528450791e-01 0.000000000000000000e+00
2.457206454272137024e+06 9.999982448519171285e-01 0.000000000000000000e+00
2.529140613984378055e+06 9.999982417072079688e-01 0.000000000000000000e+00
2.603180629850666504e+06 9.999982383921330875e-01 0.000000000000000000e+00
2.679388150330644567e+06 9.999982348794272946e-01 0.000000000000000000e+00
2.757826628628573846e+06 9.999982311413322389e-01 0.000000000000000000e+00
2.838561375526837073e+06 9.999982271497765973e-01 0.000000000000000000e+00
2.921659613766088616e+06 9.999982228765440517e-01 0.000000000000000000e+00
3.007190534017433412e+06 9.999982182934293862e-01 0.000000000000000000e+00
3.095225352493126877e+06 9.999982133723778199e-01 0.000000000000000000e+00
3.185837370243811514e+06 9.999982080856090194e-01 0.000000000000000000e+00
3.279102034191722516e+06 9.999982024057240126e-01 0.000000000000000000e+00
3.375096999950573780e+06 9.999981963057933410e-01 0.000000000000000000e+00
3.473902196484477259e+06 9.999981897594292235e-01 0.000000000000000000e+00
3.575599892659796868e+06 9.999981827408397361e-01 0.000000000000000000e+00
3.680274765745237935e+06 9.999981752248657818e-01 0.000000000000000000e+00
3.788013971917252522e+06 9.999981671870045163e-01 0.000000000000000000e+00
3.898907218829544261e+06 9.999981586034163428e-01 0.000000000000000000e+00
4.013046840306964237e+06 9.999981494509194713e-01 0.000000000000000000e+00
4.130527873226046562e+06 9.999981397069739320e-01 0.000000000000000000e+00
4.251448136646280065e+06 9.999981293496523760e-01 0.000000000000000000e+00
4.375908313257860020e+06 9.999981183576042154e-01 0.000000000000000000e+00
4.504012033213795163e+06 9.999981067100114362e-01 0.000000000000000000e+00
4.635865960416263901e+06 9.999980943865363070e-01 0.000000000000000000e+00
4.771579881328906864e+06 9.999980813672668667e-01 0.000000000000000000e+00
4.911266796389074065e+06 9.999980676326559736e-01 0.000000000000000000e+00
5.055043014096228406e+06 9.999980531634578007e-01 0.000000000000000000e+00
5.203028247854683548e+06 9.999980379406629982e-01 0.000000000000000000e+00
5.355345715651390143e+06 9.999980219454317476e-01 0.000000000000000000e+00
5.512122242651852779e+06 9.999980051590272589e-01 0.000000000000000000e+00
5.673488366799422540e+06 9.999979875627476034e-01 0.000000000000000000e+00
5.839578447506044991e+06 9.999979691378605429e-01 0.000000000000000000e+00
6.010530777524835430e+06 9.999979498655366950e-01 0.000000000000000000e+00
6.186487698097817600e+06 9.999979297267865830e-01 0.000000000000000000e+00
6.367595717474482954e+06 9.999979087023972424e-01 0.000000000000000000e+00
6.554005632899941877e+06 9.999978867728723797e-01 0.000000000000000000e+00
6.745872656174374744e+06 9.999978639183726425e-01 0.000000000000000000e+00
6.943356542888090014e+06 9.999978401186598864e-01 0.000000000000000000e+00
7.146621725439900532e+06 9.999978153530412195e-01 0.000000000000000000e+00
7.355837449949711561e+06 9.999977896003182654e-01 0.000000000000000000e+00
7.571177917179075070e+06 9.999977628387340944e-01 0.000000000000000000e+00
7.792822427577140741e+06 9.999977350459267056e-01 0.000000000000000000e+00
8.020955530572948977e+06 9.999977061988805094e-01 0.000000000000000000e+00
8.255767178238056600e+06 9.999976762738818081e-01 0.000000000000000000e+00
8.497452883447702974e+06 9.999976452464749421e-01 0.000000000000000000e+00
8.746213882672000676e+06 9.999976130914208783e-01 0.000000000000000000e+00
9.002257303532974795e+06 9.999975797826547996e-01 0.000000000000000000e+00
9.265796337266651914e+06 9.999975452932474695e-01 0.000000000000000000e+00
9.537050416233910248e+06 9.999975095953670401e-01 0.000000000000000000e+00
9.816245396628113464e+06 9.999974726602397501e-01 0.000000000000000000e+00
1.010361374653128162e+07 9.999974344581142871e-01 0.000000000000000000e+00
1.039939473947557062e+07 9.999973949582242616e-01 0.000000000000000000e+00
1.070383465367138945e+07 9.999973541287527912e-01 0.000000000000000000e+00
1.101718697706771642e+07 9.999973119367967511e-01 0.000000000000000000e+00
1.133971261841546744e+07 9.999972683483309144e-01 0.000000000000000000e+00
1.167168012450993806e+07 9.999972233281729794e-01 0.000000000000000000e+00
1.201336590379273519e+07 9.999971768399473770e-01 0.000000000000000000e+00
1.236505445649960823e+07 9.999971288460501873e-01 0.000000000000000000e+00
1.272703861154604144e+07 9.999970793076130571e-01 0.000000000000000000e+00
1.309961977034736983e+07 9.999970281844666742e-01 0.000000000000000000e+00
1.348310815777668729e+07 9.999969754351037965e-01 0.000000000000000000e+00
1.387782308046972565e+07 9.999969210166431699e-01 0.000000000000000000e+00
1.428409319269130938e+07 9.999968648847893382e-01 0.000000000000000000e+00
1.470225676998497546e+07 9.999968069937954507e-01 0.000000000000000000e+00
1.513266199083390087e+07 9.999967472964232940e-01 0.000000000000000000e+00
1.557566722656711750e+07 9.999966857439028800e-01 0.000000000000000000e+00
1.603164133975265734e+07 9.999966222858907017e-01 0.000000000000000000e+00
1.650096399132637493e+07 9.999965568704272112e-01 0.000000000000000000e+00
1.698402595671162382e+07 9.999964894438932994e-01 0.000000000000000000e+00
1.748122945119322836e+07 9.999964199509659979e-01 0.000000000000000000e+00
1.799298846481704339e+07 9.999963483345712945e-01 0.000000000000000000e+00
1.851972910709329695e+07 9.999962745358377258e-01 0.000000000000000000e+00
1.906188996179104224e+07 9.999961984940470838e-01 0.000000000000000000e+00
1.961992245211946219e+07 9.999961201465846772e-01 0.000000000000000000e+00
2.019429121659941226e+07 9.999960394288860410e-01 0.000000000000000000e+00
2.078547449593874440e+07 9.999959562743852004e-01 0.000000000000000000e+00
2.139396453123306111e+07 9.999958706144580489e-01 0.000000000000000000e+00
2.202026797382412851e+07 9.999957823783647282e-01 0.000000000000000000e+00
2.266490630715640634e+07 9.999956914931904528e-01 0.000000000000000000e+00
2.332841628098354116e+07 9.999955978837812287e-01 0.000000000000000000e+00
2.401135035828592256e+07 9.999955014726792379e-01 0.000000000000000000e+00
2.471427717527209967e+07 9.999954021800512294e-01 0.000000000000000000e+00
2.543778201484620571e+07 9.999952999236143558e-01 0.000000000000000000e+00
2.618246729393604398e+07 9.999951946185532403e-01 0.000000000000000000e+00
2.694895306508802250e+07 9.999950861774309363e-01 0.000000000000000000e+00
2.773787753274573386e+07 9.999949745100895626e-01 0.000000000000000000e+00
2.854989758464243636e+07 9.999948595235387261e-01 0.000000000000000000e+00
2.938568933875045553e+07 9.999947411218297333e-01 0.000000000000000000e+00
3.024594870624187589e+07 9.999946192059117056e-01 0.000000000000000000e+00
3.113139197092977539e+07 9.999944936734677103e-01 0.000000000000000000e+00
3.204275638567303866e+07 9.999943644187281322e-01 0.000000000000000000e+00
3.298080078624019027e+07 9.999942313322576215e-01 0.000000000000000000e+00
3.394630622314398736e+07 9.999940943007139538e-01 0.000000000000000000e+00
3.494007661197337508e+07 9.999939532065801329e-01 0.000000000000000000e+00
3.596293940276323259e+07 9.999938079278684055e-01 0.000000000000000000e+00
3.701574626895964146e+07 9.999936583378008503e-01 0.000000000000000000e+00
3.809937381655522436e+07 9.999935043044713145e-01 0.000000000000000000e+00
3.921472431398352981e+07 9.999933456905010232e-01 0.000000000000000000e+00
4.036272644338091463e+07 9.999931823526984065e-01 0.000000000000000000e+00
4.154433607384214550e+07 9.999930141417416873e-01 0.000000000000000000e+00
4.276053705731222034e+07 9.999928409019094300e-01 0.000000000000000000e+00
4.401234204777763784e+07 9.999926624708819212e-01 0.000000000000000000e+00
4.530079334444013983e+07 9.999924786796485776e-01 0.000000000000000000e+00
4.662696375957339257e+07 9.999922893525553524e-01 0.000000000000000000e+00
4.799195751178593934e+07 9.999920943075304436e-01 0.000000000000000000e+00
4.939691114543503523e+07 9.999918933565302703e-01 0.000000000000000000e+00
5.084299447695536911e+07 9.999916863062461303e-01 0.000000000000000000e+00
5.233141156889118254e+07 9.999914729591108387e-01 0.000000000000000000e+00
5.386340173244398832e+07 9.999912531146473160e-01 0.000000000000000000e+00
5.544024055936867744e+07 9.999910265711846602e-01 0.000000000000000000e+00
5.706324098407810181e+07 9.999907931279782280e-01 0.000000000000000000e+00
5.873375437684158981e+07 9.999905525877440526e-01 0.000000000000000000e+00
6.045317166898543388e+07 9.999903047596269134e-01 0.000000000000000000e+00
6.222292451103405654e+07 9.999900494625980629e-01 0.000000000000000000e+00
6.404448646475479007e+07 9.999897865292799448e-01 0.000000000000000000e+00
6.591937423010069132e+07 9.999895158101780313e-01 0.000000000000000000e+00
