# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: 74bfc88367f52b0b
# fingerprint: {"QED_corrections":false,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"delta_xi_nu":0.0,"finite_mass_corrections":true,"format_version":1,"incomplete_decoupling":true,"munuOverTnu":0.0,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp":200,"spectral_distortions":true,"y_SZ":0.0}
1.160451812155007198e+07 9.933157437049745520e-01 0.000000000000000000e+00
1.215423456535459310e+07 9.934445276108938572e-01 0.000000000000000000e+00
1.272999157072523609e+07 9.935859831995180746e-01 0.000000000000000000e+00
1.333302270244670287e+07 9.937413480978397606e-01 0.000000000000000000e+00
1.396461996037534624e+07 9.939111811916135908e-01 0.000000000000000000e+00
1.462613654756076634e+07 9.940958847787425556e-01 0.000000000000000000e+00
1.531898976949623041e+07 9.942979561189320137e-01 0.000000000000000000e+00
1.604466407070890814e+07 9.945204852418846331e-01 0.000000000000000000e+00
1.680471421519609168e+07 9.947616835229401433e-01 0.000000000000000000e+00
1.760076861752187833e+07 9.950182128175265595e-01 0.000000000000000000e+00
1.843453283171037212e+07 9.952916815167084374e-01 0.000000000000000000e+00
1.930779320541143045e+07 9.955840645710649639e-01 0.000000000000000000e+00
2.022242070716715232e+07 9.958943688770156566e-01 0.000000000000000000e+00
2.118037493497940898e+07 9.962203450014318618e-01 0.000000000000000000e+00
2.218370831476723030e+07 9.965604743479046235e-01 0.000000000000000000e+00
2.323457049770824239e+07 9.969118766615988614e-01 0.000000000000000000e+00
2.433521296588684618e+07 9.972712572760499272e-01 0.000000000000000000e+00
2.548799385611532256e+07 9.976330807130928680e-01 0.000000000000000000e+00
2.669538301226441562e+07 9.979929161219441847e-01 0.000000000000000000e+00
2.795996727692684904e+07 9.983439444600789026e-01 0.000000000000000000e+00
2.928445603375167400e+07 9.986802142286279604e-01 0.000000000000000000e+00
3.067168701232454926e+07 9.989931182809832499e-01 0.000000000000000000e+00
3.212463236802952364e+07 9.992754865709081447e-01 0.000000000000000000e+00
3.364640504992025346e+07 9.995177609963606935e-01 0.000000000000000000e+00
3.524026547024237365e+07 9.997136539888377138e-01 0.000000000000000000e+00
3.690962848989710957e+07 9.998568494106162552e-01 0.000000000000000000e+00
3.865807073481325805e+07 9.999463489039172037e-01 0.000000000000000000e+00
4.048933825890124589e+07 9.999873431960840664e-01 0.000000000000000000e+00
4.240735457000926137e+07 9.999924519111043075e-01 0.000000000000000000e+00
4.441622903607542068e+07 9.999935255484719843e-01 0.000000000000000000e+00
4.652026568948684633e+07 9.999923574735860576e-01 0.000000000000000000e+00
4.872397244851007313e+07 9.999917666544895223e-01 0.000000000000000000e+00
5.103207077554742992e+07 9.999916058541168384e-01 0.000000000000000000e+00
5.344950579291524738e+07 9.999913144042410496e-01 0.000000000000000000e+00
5.598145687781451643e+07 9.999909171326305524e-01 0.000000000000000000e+00
5.863334875919473916e+07 9.999905240211153234e-01 0.000000000000000000e+00
6.141086314028744400e+07 9.999901299193051374e-01 0.000000000000000000e+00
6.431995087170767039e+07 9.999897123325750536e-01 0.000000000000000000e+00
6.736684470120808482e+07 9.999892714409338579e-01 0.000000000000000000e+00
7.055807262739917636e+07 9.999888112013540775e-01 0.000000000000000000e+00
