# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: 73e94709eaa4f256
# fingerprint: {"QED_corrections":false,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"finite_mass_corrections":true,"format_version":1,"incomplete_decoupling":true,"munuOverTnu":0.0,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp_per_decade":80,"spectral_distortions":false,"y_SZ":0.0,"y_gray":0.0}
1.160451812155007198e+07 9.999983390277757955e-01 0.000000000000000000e+00
1.194445382843508385e+07 9.999982903866279083e-01 0.000000000000000000e+00
1.229434740548801981e+07 9.999982403221133742e-01 0.000000000000000000e+00
1.265449055251050368e+07 9.999981887927833490e-01 0.000000000000000000e+00
1.302518351418111660e+07 9.999981357559761808e-01 0.000000000000000000e+00
1.340673533036361635e+07 9.999980811677841031e-01 0.000000000000000000e+00
1.379946409374797717e+07 9.999980249830203727e-01 0.000000000000000000e+00
1.420369721503815055e+07 9.999979671551889604e-01 0.000000000000000000e+00
1.461977169590851478e+07 9.999979076364516883e-01 0.000000000000000000e+00
1.504803440995584987e+07 9.999978463775982540e-01 0.000000000000000000e+00
1.548884239188134670e+07 9.999977833280135897e-01 0.000000000000000000e+00
1.594256313514404185e+07 9.999977184356468873e-01 0.000000000000000000e+00
1.640957489833307080e+07 9.999976516469792909e-01 0.000000000000000000e+00
1.689026702051510662e+07 9.999975829069897015e-01 0.000000000000000000e+00
1.738504024581887946e+07 9.999975121591212490e-01 0.000000000000000000e+00
1.789430705752837285e+07 9.999974393452472077e-01 0.000000000000000000e+00
1.841849202196240798e+07 9.999973644056336930e-01 0.000000000000000000e+00
1.895803214242760837e+07 9.999972872789054668e-01 0.000000000000000000e+00
1.951337722354025394e+07 9.999972079020076343e-01 0.000000000000000000e+00
2.008499024621973559e+07 9.999971262101697844e-01 0.000000000000000000e+00
2.067334775366751477e+07 9.999970421368700180e-01 0.000000000000000000e+00
2.127894024865204096e+07 9.999969556137986437e-01 0.000000000000000000e+00
2.190227260243212804e+07 9.999968665708246496e-01 0.000000000000000000e+00
2.254386447565865889e+07 9.999967749359630620e-01 0.000000000000000000e+00
2.320425075160592049e+07 9.999966806353423054e-01 0.000000000000000000e+00
2.388398198209420219e+07 9.999965835931788893e-01 0.000000000000000000e+00
2.458362484647430480e+07 9.999964837317494304e-01 0.000000000000000000e+00
2.530376262405800447e+07 9.999963809713692253e-01 0.000000000000000000e+00
2.604499568038682267e+07 9.999962752303748204e-01 0.000000000000000000e+00
2.680794196774604172e+07 9.999961664251092452e-01 0.000000000000000000e+00
2.759323754033992812e+07 9.999960544699136866e-01 0.000000000000000000e+00
2.840153708455819264e+07 9.999959392771246014e-01 0.000000000000000000e+00
2.923351446477630734e+07 9.999958207570767144e-01 0.000000000000000000e+00
3.008986328514331579e+07 9.999956988181158968e-01 0.000000000000000000e+00
3.097129746782724559e+07 9.999955733666173741e-01 0.000000000000000000e+00
3.187855184819832072e+07 9.999954443070180332e-01 0.000000000000000000e+00
3.281238278744807094e+07 9.999953115418561689e-01 0.000000000000000000e+00
3.377356880315344781e+07 9.999951749718273275e-01 0.000000000000000000e+00
3.476291121831235290e+07 9.999950344958556947e-01 0.000000000000000000e+00
3.578123482939223200e+07 9.999948900111794714e-01 0.000000000000000000e+00
3.682938859394711256e+07 9.999947414134588985e-01 0.000000000000000000e+00
3.790824633837836981e+07 9.999945885969063752e-01 0.000000000000000000e+00
3.901870748642701656e+07 9.999944314544401136e-01 0.000000000000000000e+00
4.016169780900728703e+07 9.999942698778686578e-01 0.000000000000000000e+00
4.133817019600404054e+07 9.999941037581059344e-01 0.000000000000000000e+00
4.254910545068005472e+07 9.999939329854261594e-01 0.000000000000000000e+00
4.379551310735325515e+07 9.999937574497563819e-01 0.000000000000000000e+00
4.507843227302657813e+07 9.999935770410195435e-01 0.000000000000000000e+00
4.639893249367284775e+07 9.999933916495294950e-01 0.000000000000000000e+00
4.775811464589476585e+07 9.999932011664450782e-01 0.000000000000000000e+00
4.915711185470598191e+07 9.999930054842931515e-01 0.000000000000000000e+00
5.059709043819620460e+07 9.999928044975677777e-01 0.000000000000000000e+00
5.207925087986870110e+07 9.999925981034158973e-01 0.000000000000000000e+00
5.360482882946188748e+07 9.999923862024185928e-01 0.000000000000000000e+00
5.517509613308683038e+07 9.999921686994821535e-01 0.000000000000000000e+00
5.679136189354267716e+07 9.999919455048535966e-01 0.000000000000000000e+00
5.845497356169053912e+07 9.999917165352736337e-01 0.000000000000000000e+00
6.016731805979927629e+07 9.999914817152851798e-01 0.000000000000000000e+00
6.192982293779598922e+07 9.999912409787184986e-01 0.000000000000000000e+00
6.374395756338880956e+07 9.999909942703731902e-01 0.000000000000000000e+00
6.561123434705124050e+07 9.999907415479222239e-01 0.000000000000000000e+00
6.753321000289034843e+07 9.999904827840669919e-01 0.000000000000000000e+00
6.951148684645150602e+07 9.999902179689716952e-01 0.000000000000000000e+00
7.154771413053803146e+07 9.999899471130154760e-01 0.000000000000000000e+00
7.364358942016379535e+07 9.999896702498983769e-01 0.000000000000000000e+00
7.580086000778134167e+07 9.999893874401462046e-01 0.000000000000000000e+00
7.802132436996677518e+07 9.999890987750668092e-01 0.000000000000000000e+00
8.030683366677752137e+07 9.999888043812080740e-01 0.000000000000000000e+00
8.265929328502891958e+07 9.999885044253833399e-01 0.000000000000000000e+00
8.508066442678131163e+07 9.999881991203342091e-01 0.000000000000000000e+00
8.757296574435649812e+07 9.999878887311088871e-01 0.000000000000000000e+00
9.013827502325230837e+07 9.999875735822444378e-01 0.000000000000000000e+00
9.277873091435243189e+07 9.999872540658507614e-01 0.000000000000000000e+00
9.549653471688136458e+07 9.999869306507116473e-01 0.000000000000000000e+00
9.829395221358637512e+07 9.999866038925225853e-01 0.000000000000000000e+00
1.011733155596781969e+08 9.999862744454116603e-01 0.000000000000000000e+00
1.041370252271060497e+08 9.999859430748945233e-01 0.000000000000000000e+00
1.071875520057871491e+08 9.999856106724476223e-01 0.000000000000000000e+00
1.103274390634579509e+08 9.999852782718917643e-01 0.000000000000000000e+00
1.135593040658666492e+08 9.999849470678146002e-01 0.000000000000000000e+00
1.168858413590708673e+08 9.999846184362781720e-01 0.000000000000000000e+00
1.203098242156668752e+08 9.999842939580964041e-01 0.000000000000000000e+00
1.238341071468138248e+08 9.999839754449953988e-01 0.000000000000000000e+00
1.274616282819872946e+08 9.999836649690124757e-01 0.000000000000000000e+00
1.311954118184435666e+08 9.999833648955320786e-01 0.000000000000000000e+00
1.350385705424373746e+08 9.999830779204046394e-01 0.000000000000000000e+00
1.389943084242920876e+08 9.999828071116504402e-01 0.000000000000000000e+00
1.430659232894937396e+08 9.999825559563108035e-01 0.000000000000000000e+00
1.472568095680249631e+08 9.999823284130802126e-01 0.000000000000000000e+00
1.515704611242395937e+08 9.999821289714290184e-01 0.000000000000000000e+00
1.560104741696303487e+08 9.999819627180109860e-01 0.000000000000000000e+00
1.605805502609273791e+08 9.999818354112534058e-01 0.000000000000000000e+00
1.652844993860153258e+08 9.999817535651334133e-01 0.000000000000000000e+00
1.701262431402502060e+08 9.999817245432651713e-01 0.000000000000000000e+00
1.751098179958217144e+08 9.999817566645682332e-01 0.000000000000000000e+00
1.802393786668825150e+08 9.999818593219335083e-01 0.000000000000000000e+00
1.855192015732608140e+08 9.999820431154851086e-01 0.000000000000000000e+00
1.909536884056296647e+08 9.999823200022279757e-01 0.000000000000000000e+00
1.965473697951165140e+08 9.999827034640895729e-01 0.000000000000000000e+00
2.023049090904033780e+08 9.999832086966227163e-01 0.000000000000000000e+00
2.082311062454790771e+08 9.999838528208799815e-01 0.000000000000000000e+00
2.143309018212690055e+08 9.999846551213350532e-01 0.000000000000000000e+00
2.206093811044900417e+08 9.999856373130679987e-01 0.000000000000000000e+00
2.270717783471610248e+08 9.999868238416879107e-01 0.000000000000000000e+00
2.337234811302981079e+08 9.999882422201553656e-01 0.000000000000000000e+00
2.405700348554467559e+08 9.999899234070160903e-01 0.000000000000000000e+00
2.476171473677769899e+08 9.999919022310911343e-01 0.000000000000000000e+00
2.548706937146100700e+08 9.999942178684801952e-01 1.928925113297649709e-28
2.623367210433326662e+08 9.999969143781046732e-01 1.114866338357530886e-27
2.700214536427979469e+08 1.000000041303978238e+00 6.141890302041859995e-27
2.779312981323959827e+08 1.000003654350726467e+00 3.229525703293916399e-26
2.860728488031346798e+08 1.000007816144283357e+00 1.622936748913170106e-25
2.944528931151782870e+08 1.000012597086990640e+00 7.804460883921343607e-25
3.030784173564286828e+08 1.000018076320261518e+00 3.595829190854912212e-24
3.119566124668592215e+08 1.000024342809950006e+00 1.589245288610317191e-23
3.210948800334758162e+08 1.000031496570034095e+00 6.745659801373428876e-23
3.305008384608782530e+08 1.000039650048560880e+00 2.752903057543962910e-22
3.401823293225855827e+08 1.000048929698308164e+00 1.081353462925971743e-21
3.501474238984055519e+08 1.000059477760189441e+00 4.092779847369002436e-21
3.604044299033194184e+08 1.000071454303668395e+00 1.494147969912988134e-20
3.709618984134646654e+08 1.000085039558361810e+00 5.266611115484806607e-20
3.818286309950104952e+08 1.000100436605992460e+00 1.794143038621014065e-19
3.930136870418622494e+08 1.000117874530281004e+00 5.912692941880031362e-19
4.045263913283039927e+08 1.000137611966881668e+00 1.886769762226254322e-18
4.163763417829000354e+08 1.000159941415330378e+00 5.835124923051261715e-18
4.285734174901039600e+08 1.000185194237417363e+00 1.750496835725469287e-17
4.411277869262718558e+08 1.000213746603233478e+00 5.098296628698801817e-17
4.540499164369260669e+08 1.000246026584204806e+00 1.442796527093071210e-16
4.673505789623640776e+08 1.000282522655477679e+00 3.970602061547635340e-16
4.810408630188527703e+08 1.000323793931040983e+00 1.063471671727528466e-15
4.951321819429209232e+08 1.000370482525373195e+00 2.774298279862074032e-15
5.096362834064487815e+08 1.000423328597272343e+00 7.054566374588825611e-15
5.245652592104764581e+08 1.000483189849257881e+00 1.749865861289868329e-14
5.399315553659272194e+08 1.000551060269610160e+00 4.237150886351916206e-14
5.557479824696080685e+08 1.000628099697799422e+00 1.002283010278339180e-13
5.720277263841720819e+08 1.000715665612671668e+00 2.317717332516500273e-13
5.887843592309185266e+08 1.000815351633032924e+00 5.243047360482551169e-13
6.060318507046331167e+08 1.000929035579023019e+00 1.161057451148729349e-12
6.237845797198551893e+08 1.001058936266522981e+00 2.518587459158254771e-12
6.420573463983147144e+08 1.001207684595293079e+00 5.355191902614582824e-12
6.608653844075227976e+08 1.001378406993069570e+00 1.116819245347915285e-11
6.802243736607878208e+08 1.001574814628214405e+00 2.285833543806417748e-11
7.001504533892848492e+08 1.001801332134401257e+00 4.594292655510565887e-11
7.206602355970234871e+08 1.002063214451792472e+00 9.072961353244250786e-11
7.417708189099742174e+08 1.002366731045472914e+00 1.761464175787183041e-10
7.634998028308640718e+08 1.002719357578461423e+00 3.363741189252341983e-10
7.858653024115747213e+08 1.003130047908285860e+00 6.321564982854623549e-10
8.088859633553140163e+08 1.003609363324993842e+00 1.169708178227293058e-09
8.325809775611968040e+08 1.004169862817601677e+00 2.131922795576859585e-09
8.569700991241761446e+08 1.004826521440330023e+00 3.829092255555959953e-09
8.820736608036700487e+08 1.005597127786445943e+00 6.780018170885411479e-09
9.079125909745934010e+08 1.006502569542103265e+00 1.183931050023108354e-08
9.345084310749771595e+08 1.007567592826719594e+00 2.039536267230596973e-08
9.618833535646533966e+08 1.008821567111655382e+00 3.467358048371851494e-08
9.900601804100320339e+08 1.010298663304440403e+00 5.818916330021520583e-08
1.019062402110335708e+09 1.012039339645484093e+00 9.642511707352855359e-08
1.048914197281219006e+09 1.014090910102161791e+00 1.578179086606682300e-07
